Date,Temp,Q,P,E
10/9/2016,11.695,0.176,0,2.79
10/10/2016,10.695,0.176,0,3.46
10/11/2016,11.195,0.176,0,3.65
10/12/2016,12.395,0.214,0,3.46
10/13/2016,16.395,0.214,0,5.64
10/14/2016,10.195,0.252,0,3.24
10/15/2016,7.395,0.252,0,3.41
10/16/2016,5.395,0.214,0,3.26
10/17/2016,7.595,0.214,0,3.54
10/18/2016,4.595,0.252,0,1.17
10/19/2016,6.195,0.214,3,2.19
10/20/2016,6.095,0.214,0,2.56
10/21/2016,6.095,0.252,0,2.76
10/22/2016,7.095,0.252,0,2.79
10/23/2016,8.495,0.252,0,2.96
10/24/2016,9.795,0.252,0,2.58
10/25/2016,7.095,0.214,0,2.72
10/26/2016,3.395,0.214,0,2.33
10/27/2016,4.495,0.214,0,2.45
10/28/2016,5.495,0.214,0,2.75
10/29/2016,6.695,0.214,0,2.9
10/30/2016,6.495,0.214,0,2.65
10/31/2016,3.395,0.214,0,1.87
11/1/2016,-1.105,0.214,7.2,1.07
11/2/2016,-2.205,0.214,0,1.6
11/3/2016,0.895,0.214,0,2
11/4/2016,2.995,0.214,0,2.3
11/5/2016,2.795,0.214,0,2.21
11/6/2016,3.695,0.214,0,2.02
11/7/2016,4.995,0.214,0,1.8
11/8/2016,6.195,0.214,0,1.66
11/9/2016,7.695,0.214,0,2.05
11/10/2016,11.895,0.214,0,4.05
11/11/2016,6.195,0.214,0,1.61
11/12/2016,4.695,0.214,0,1.49
11/13/2016,5.895,0.214,0,1.67
11/14/2016,5.495,0.214,0,1.58
11/15/2016,4.595,0.214,0,1.86
11/16/2016,-2.005,0.214,0,0.77
11/17/2016,-4.905,0.214,0.8,0.9
11/18/2016,-4.905,0.214,0,1.27
11/19/2016,-3.005,0.214,0,1.38
11/20/2016,-1.505,0.214,0,1.56
11/21/2016,0.295,0.214,0,1.64
11/22/2016,0.195,0.214,0,1.72
11/23/2016,-1.805,0.214,0,2.09
11/24/2016,-2.205,0.214,0,1.66
11/25/2016,-0.905,0.214,0,1.7
11/26/2016,-1.905,0.176,0,1.86
11/27/2016,-0.605,0.176,0,1.71
11/28/2016,-0.305,0.176,0,2.04
11/29/2016,1.195,0.176,0,1.87
11/30/2016,0.595,0.176,1.2,1
12/1/2016,-4.105,0.176,8.6,0.16
12/2/2016,-6.805,0.214,2.6,0.49
12/3/2016,-4.405,0.214,0.2,1.32
12/4/2016,-0.505,0.214,0.2,0.86
12/5/2016,-2.705,0.214,0,1.04
12/6/2016,-5.605,0.176,0.2,1.1
12/7/2016,-3.405,0.214,0,1.54
12/8/2016,-5.905,0.214,0,0.89
12/9/2016,-7.105,0.214,0,1.38
12/10/2016,-2.905,0.176,0,2.16
12/11/2016,-1.605,0.176,0,1.65
12/12/2016,-0.505,0.176,0,1.02
12/13/2016,-1.505,0.214,0,0.31
12/14/2016,-9.305,0.214,18.8,0.46
12/15/2016,-14.905,0.214,0.4,0.65
12/16/2016,-12.805,0.176,1.8,0.66
12/17/2016,-12.005,0.176,1,0.42
12/18/2016,-13.105,0.214,0,0.57
12/19/2016,-17.705,0.214,0,0.71
12/20/2016,-14.505,0.176,0,0.85
12/21/2016,-11.505,0.176,0.2,0.48
12/22/2016,-6.705,0.214,2,0.45
12/23/2016,-5.005,0.214,2.8,0.27
12/24/2016,-4.605,0.214,1.4,0.39
12/25/2016,-5.905,0.214,2,0.37
12/26/2016,-6.205,0.214,0,0.39
12/27/2016,-5.905,0.252,5,0.34
12/28/2016,-6.705,0.252,0.2,0.81
12/29/2016,-2.605,0.76,3.4,1.47
12/30/2016,-3.405,0.98,15,0.56
12/31/2016,-6.405,0.87,22.6,0.42
1/1/2017,-10.505,0.578,0,0.61
1/2/2017,-10.905,0.434,0,0.56
1/3/2017,-8.905,0.434,0,0.75
1/4/2017,-10.905,0.434,0,0.78
1/5/2017,-4.905,0.434,0,1.04
1/6/2017,-0.305,0.76,0,1.58
1/7/2017,-1.005,1.62,0,1.87
1/8/2017,-3.505,1.48,0.6,1.19
1/9/2017,-9.505,1.09,6.2,0.72
1/10/2017,-9.505,0.87,0,1.2
1/11/2017,-4.305,0.87,2.4,0.8
1/12/2017,-6.505,0.87,0,0.91
1/13/2017,-7.205,0.65,4.4,1.11
1/14/2017,-9.205,0.434,0,0.86
1/15/2017,-7.505,0.434,0,0.96
1/16/2017,-4.405,0.434,0,0.76
1/17/2017,-3.605,0.434,0,0.85
1/18/2017,-3.105,0.434,0,1.18
1/19/2017,-3.705,0.434,0,0.96
1/20/2017,-7.705,0.434,0,1.13
1/21/2017,-6.505,0.434,0,0.83
1/22/2017,-10.705,0.434,0,0.93
1/23/2017,-9.305,0.434,0,0.82
1/24/2017,-7.205,0.434,0,1.11
1/25/2017,-1.305,0.434,0,1.63
1/26/2017,-6.405,0.434,0,0.84
1/27/2017,-11.505,0.434,1.4,0.56
1/28/2017,-13.605,0.362,0.2,0.84
1/29/2017,-13.405,0.362,0,0.73
1/30/2017,-13.705,0.362,0,0.83
1/31/2017,-15.105,0.362,0,0.7
2/1/2017,-16.405,0.29,0,1.13
2/2/2017,-14.705,0.29,0,1.08
2/3/2017,-8.405,0.29,0,1.5
2/4/2017,-5.305,0.29,0,1.18
2/5/2017,-2.605,0.29,0,1.1
2/6/2017,-2.105,0.29,0.6,0.78
2/7/2017,-1.305,0.362,0,1.2
2/8/2017,0.295,0.434,0,1.96
2/9/2017,-0.305,0.362,0,1.35
2/10/2017,-2.405,0.362,0,1.34
2/11/2017,-5.505,0.362,0,1.07
2/12/2017,-4.705,0.362,0,0.9
2/13/2017,-8.205,0.362,0,0.9
2/14/2017,-9.405,0.362,0,1.07
2/15/2017,-11.105,0.362,0,0.72
2/16/2017,-9.805,0.362,0,0.93
2/17/2017,-10.005,0.362,0,1.14
2/18/2017,-7.305,0.362,0,1.48
2/19/2017,-3.805,0.362,0,1.43
2/20/2017,-3.805,0.362,0,1.57
2/21/2017,-1.705,0.362,0,1.76
2/22/2017,-0.805,0.362,0,1.71
2/23/2017,-0.305,0.434,0,1.98
